col_name,Présent,Imparfait,Passé simple,Passé composé,Futur,Plus que parfait,date,canon,subgenre
1845_Dumas-Alexandre_Histoire-d-un-Casse-noisette,2009,942,1086,369,80,260,1845,1,6
1912_Boylesve-Rene_Madeleine-jeune-femme,4907,3199,738,720,66,671,1912,0,
1874_Daudet-Alphonse_Fromont-jeune-et-Risler-aine,4045,3322,1005,619,119,429,1874,1,
1888_Larmandie-Leonce-de_Excelsior-Roman-parisien,4207,709,990,573,250,153,1888,0,
1912_Leblanc-Maurice_Le-Bouchon-de-cristal,4617,1628,1726,787,235,286,1912,0,2
1960_San-Antonio_Berceuse-pour-Berurier,3764,168,26,485,65,18,1960,0,9
1880_Assollant-Alfred_Hyacinthe,3675,899,650,601,211,176,1880,0,
1980_Siniac-Pierre_Reflets-changeants-sur-mare-de-sang,2876,1166,534,675,155,322,1980,0,2
1885_Bourget-Paul_Cruelle-Enigme,1684,1233,433,362,47,387,1885,1,
1873_Rousset-Alexis_Derailles-et-declasses-Paris-et-la-province_Tome-2,5015,1363,1305,829,314,288,1873,0,
1898_Renard-Jules_Bucoliques,3901,280,107,263,105,17,1898,1,4
1845_Balzac-Honore-de_Le-Chef-d-oeuvre-inconnu,706,113,134,87,20,15,1845,1,5
1912_Mille-Pierre_Louise-et-Barnavaux,3783,1241,670,509,72,229,1912,0,1
1879_Cadol-Edouard_La-Grande-Vie-La-Preferee,4364,1774,1272,758,136,376,1879,0,4
1876_Husson-Mme-de_La-Fille-du-rabbin,2222,547,758,302,171,111,1876,0,
1882_Ulbach-Louis_La-confession-d-un-abbe,4811,2323,1059,867,161,443,1882,0,
1986_Tournier-Michel_La-Goutte-d-or,3662,1370,967,472,78,254,1986,1,
1911_Apollinaire-Guillaume_Les-exploits-d-un-jeune-don-Juan,1313,673,399,246,14,166,1911,1,9
1890_Mirbeau-Octave_Sebastien-Roch,5172,2524,1240,816,133,325,1890,1,
2003_Daeninckx-Didier_La-route-du-Rom,3115,418,36,741,52,71,2003,1,2
1843_Le-Roux-Alfred_Edouard-Aubert,2384,1048,341,384,38,204,1843,0,
1962_San-Antonio_Le-loup-habille-en-grand-mere,4437,228,44,683,52,32,1962,0,9
1835_Corbiere-Edouard_Scenes-de-mer_Tome-II,2088,505,312,426,104,168,1835,0,1
1951_Delly_La-maison-des-belles-colonnes-L'accusatrice,2288,1209,915,436,186,263,1951,0,8
2006_Volodine-Antoine_Nos-animaux-preferes,1129,790,406,160,75,178,2006,1,4
